MARCHE_ID,ACHETEURS_ID,ACHETEURS_NOM,NATURE_MARCHE,MARCHE_OBJET,LIEU_EXEC_CODE,LONG_EXEC_CODE,LAT_EXEC_CODE,PUBLICATION_DATE,MONTANT,Remarques facultatives
12,,CITÉOS,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 3 : Électricité : courants fort et faible,59583,3.547726,50.346422,08-16,"90 000- 5 185 999,99",Co-traitant
13,39080288200048,BASCOP,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 4 : Aménagements paysagers,59530,3.648680,50.248350,11-16,"90 000- 5 185 999,99",
14,51323268600024,DELTOUR PAYSAGES,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 5 : Clôtures et portails,59401,3.209910,50.173520,11-16,"90 000- 5 185 999,99",
15,53545005000120,FRENEHARD ET MICHAUX,Marchés de travaux,Travaux de construction d'une déchetterie sur la commune de Le Quesnoy - lot 6 : Métallerie et équipements de quai,61300,0.595860,48.790160,11-16,"90 000- 5 185 999,99",
16,40416401400056,JEAN LEFEBVRE NORD,Marchés de travaux,"Travaux de voirie, d'assainissement, de réseaux divers et d'aménagement paysager dans le cadre des aménagements de la ZAE de Wargnies-le-Grand - lot 1 : Travaux de terrassement, voirie, assainissement, signalisation horizontale et verticale",59505,3.098090,50.396510,11-16,"90 000- 5 185 999,99",
16,38878155100022,EIFFAGE ENERGIE INFRASTRUCTURE NORD,Marchés de travaux,"Travaux de voirie, d'assainissement, de réseaux divers et d'aménagement paysager dans le cadre des aménagements de la ZAE de Wargnies-le-Grand - lot 1 : Travaux de terrassement, voirie, assainissement, signalisation horizontale et verticale",59480,2.794480,50.549210,11-16,"90 000- 5 185 999,99",
16,39337406100025,France ENVIRONNEMENT,Marchés de travaux,"Travaux de voirie, d'assainissement, de réseaux divers et d'aménagement paysager dans le cadre des aménagements de la ZAE de Wargnies-le-Grand - lot 1 : Travaux de terrassement, voirie, assainissement, signalisation horizontale et verticale",59710,3.093530,50.531750,11-16,"90 000- 5 185 999,99",
17,34054699300320,GFI PROGICIELS,Marchés de fournitures,Fourniture   maintenance et mise ne Oeuvre d'un observatoire fiscal,93400,2.322950,48.904920,03-16,"15 000- 89 999,99",
18,47718101000794,API RESTAURATION,Marchés de service,Confection et livraison de repas en liaison froide à  destination des CLSH 2016 de la CCPM,59224,3.461830,50.305670,02-16,"15 000- 89 999,99",
19,41244251900119,GINGER CEBTP,Marchés de service,Études de caractérisation de l'état initial du site et de définition des modes constructifs des ouvrages de la future ZAE sur les communes de Wargnies-le-Grand et de Jenlain,62400,2.653180,50.521370,03-16,"15 000- 89 999,99",
20,,CITÉOS,Marchés de service,Maintenance des installations électriques des espaces extérieurs,59583,3.547726,50.346422,04-16,"15 000- 89 999,99",Mandataire
20,30713280300049,TROMONT,Marchés de service,Maintenance des installations électriques des espaces extérieurs,59750,3.906840,50.275530,04-16,"15 000- 89 999,99",Co-traitant
21,40095960700013,FRANCOIS TOURISME CONSULTANTS,Marchés de service,Étude préalable portant sur la valorisation de la halte nautique de Landrecies,24750,0.792480,45.211190,04-16,"15 000- 89 999,99",Mandataire
21,42138818200014,OMEGA CONSULTANTS,Marchés de service,Étude préalable portant sur la valorisation de la halte nautique de Landrecies,31200,1.436390,43.619250,04-16,"15 000- 89 999,99",Co-traitant
22,539 230 482 00025,URBYCOM,Marchés de service,ACCORD CADRE : MISSION D'ASSISTANCE EN MATIÈRE D'URBANISME POUR LES MODIFICATIONS DES DOCUMENTS D'URBANISME POUR LE COMPTE DE LA CCPM - marché subséquent 1 : Modification simplifiée du PLU pour la commune d'Hargnies et du POS pour la commune de Poix-du-Nord,59503,3.060850,50.404640,05-16,"15 000- 89 999,99",
23,42863435600110,MERLIN MARC,Marchés de service,Maîtrise d'Oeuvre pour la réalisation des aménagements de la ZAE de Wargnies-le-Grand,59000,3.068270,50.624750,05-16,"15 000- 89 999,99",Mandataire
23,50254500700010,CANOPÉE,Marchés de service,Maîtrise d'Oeuvre pour la réalisation des aménagements de la ZAE de Wargnies-le-Grand,59200,3.163910,50.711720,05-16,"15 000- 89 999,99",Co-traitant
24,52061457900016,LE MAILLON C2R INSERTION,Marchés de service,Sensibilisation au tri des encombrants par réemploi et recyclage,59410,3.524240,50.380920,05-16,"15 000- 89 999,99",Titulaire
24,43372487900013,LE MAILLON C2R,Marchés de service,Sensibilisation au tri des encombrants par réemploi et recyclage,59410,3.524580,50.381310,05-16,"15 000- 89 999,99",Sous-traitant
25,42154744900023,VERDI CONSEIL,Marchés de service,ACCORD CADRE : MISSION D'ASSISTANCE EN MATIÈRE D'URBANISME POUR LES MODIFICATIONS DES DOCUMENTS D'URBANISME POUR LE COMPTE DE LA CCPM - marché subséquent 2 : Modification simplifiée du PLU pour la commune de Le Quesnoy,59441,3.118750,50.672340,06-16,"15 000- 89 999,99",
26,42154744900023,VERDI CONSEIL,Marchés de service,ACCORD CADRE : MISSION D'ASSISTANCE EN MATIÈRE D'URBANISME POUR LES MODIFICATIONS DES DOCUMENTS D'URBANISME POUR LE COMPTE DE LA CCPM - marché subséquent 3 : Modification simplifiée du POS pour la commune de Maroilles,59441,3.118750,50.672340,07-16,"15 000- 89 999,99",
27,44722007000034,LES CARS DU HAINAUT,Marchés de service,Transport des élèves des écoles vers les piscines - lot 1,59530,3.632160,50.258900,08-16,"15 000- 89 999,99",
28,44722007000034,LES CARS DU HAINAUT,Marchés de service,Transport des jeunes dans le cadre des ALSH - lot 2,59530,3.632160,50.258900,08-16,"15 000- 89 999,99",
29,53339143900015,DIENTRE,Marchés de service,Mission AMO pour le projet de valorisation de la forêt de Mormal - Commune de Locquignol,59000,3.055610,50.623070,11-16,"15 000- 89 999,99",Mandataire
29,81017574500019,QUALIVIA INGENIERIE,Marchés de service,Mission AMO pour le projet de valorisation de la forêt de Mormal - Commune de Locquignol,59650,3.145430,50.639290,11-16,"15 000- 89 999,99",Co-traitant 1
29,39905261200021,COUDEL,Marchés de service,Mission AMO pour le projet de valorisation de la forêt de Mormal - Commune de Locquignol,25440,5.818960,47.060410,11-16,"15 000- 89 999,99",Co-traitant 2
30,80852096900011,ANTOINE MARÉCHAL,Marchés de service,Entretien des haies bocagères sur le territoire de la CCPM,59530,3.581840,50.258760,12-16,"15 000- 89 999,99",
30,84902547300018,DUMOULIN MOTTE,Marchés de service,Entretien des haies bocagères sur le territoire de la CCPM,59218,3.628980,50.182230,12-16,"15 000- 89 999,99",
30,82430668200017,ETA DE ROMERIES,Marchés de service,Entretien des haies bocagères sur le territoire de la CCPM,59730,3.529880,50.203160,12-16,"15 000- 89 999,99",
30,,FRASNOY D'HIER ET D'AUJOURD'HUI,Marchés de service,Entretien des haies bocagères sur le territoire de la CCPM,59530,3.718760,50.269910,12-16,"15 000- 89 999,99",
30,40481644900015,HARBONNIER JOSÉ,Marchés de service,Entretien des haies bocagères sur le territoire de la CCPM,59144,3.707930,50.254350,12-16,"15 000- 89 999,99",
30,40413996600018,JOACHIM,Marchés de service,Entretien des haies bocagères sur le territoire de la CCPM,59570,3.766640,50.321250,12-16,"15 000- 89 999,99",
30,35358977300012,POIRETTE,Marchés de service,Entretien des haies bocagères sur le territoire de la CCPM,59144,3.697480,50.277810,12-16,"15 000- 89 999,99",
31,42154744900023,VERDI CONSEIL,Marchés de service,ACCORD CADRE : MISSION D'ASSISTANCE EN MATIÈRE D'URBANISME POUR LES MODIFICATIONS DES DOCUMENTS D'URBANISME POUR LE COMPTE DE LA CCPM - marché subséquent 4 : Modification simplifiée du PLU pour la commune de Sepmeries,59441,3.118750,50.672340,12-16,"15 000- 89 999,99",
32,539 230 482 00025,URBYCOM,Marchés de service,ACCORD CADRE : MISSION D'ASSISTANCE EN MATIÈRE D'URBANISME POUR LES MODIFICATIONS DES DOCUMENTS D'URBANISME POUR LE COMPTE DE LA CCPM - marché subséquent 5 : Modification simplifiée du POS pour la commune de Villereau,59503,3.060850,50.404640,12-16,"15 000- 89 999,99",
33,42139234100028,REV'ALIZÉS,Marchés de service,Organisation des séjours 2017 de la CCPM,59000,3.039440,50.627010,12-16,"90 000 à  206 999,99",
34,42154744900023,VERDI CONSEIL,Marchés de service,Élaboration du PLUi de la CCPM,59441,3.118750,50.672340,05-16,207 000 et plus,Mandataire
34,451 381 990 00022,AD'AUC,Marchés de service,Élaboration du PLUi de la CCPM,59000,3.040100,50.612080,05-16,207 000 et plus,Co-traitant 1
34,53953679700019,BASSET & MACAGNO,Marchés de service,Élaboration du PLUi de la CCPM,75017,2.322930,48.893000,05-16,207 000 et plus,Co-traitant 2
34,13001354300033,CHAMBRE D'AGRICULTURE NPDC,Marchés de service,Élaboration du PLUi de la CCPM,59013,3.067630,50.628300,05-16,207 000 et plus,Sous-traitant
