nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,resource_id
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAMZM484F36D5SKBK71FBQJC,"RELAIS CARQUEFOU, CARQUEFOU",Station dédiée à la recharge rapide,Route de Paris 44470 Carquefou,44026,"[48.550222,-3.112511]",2,Non concerné,01FAMZM484F36D5SKBK71FBQJC,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,true,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50055950865120,2021-01-28,SO,2021-07-13,2021-07-15T14:00:46.460000,8a588e55-4778-4ae8-b5f2-099162e56a00
TOTALENERGIES MARKETING FRANCE,531680445,ms.eur-fr-res-racelecirve@total.com,TOTALENERGIES MARKETING FRANCE,ms.eur-fr-res-racelecirve@total.com,0141354000,TOTAL Charge Rapide,Non concerné,01FAMS47NF1439V84TGHG51YEZ,"RELAIS DE LA  MAULDRE, EPONE",Station dédiée à la recharge rapide,"ROUTE DE GARGENVILLE, 78680 ",78217,"[48.9614,1.8124]",2,Non concerné,01FAMS47NF1439V84TGHG51YEZ,225,true,true,true,true,false,false,true,false,true,"0,40€/min pour borne 50kW DC et 0,65€/min pour borne 175kW DC",Accès libre,false,24/7,Accessible mais non réservé PMR,3.50 m,false,Direct,50071581010142,2021-03-04,so,2021-07-15,2021-07-15T12:09:52.916000,a0129c85-fe04-4051-8499-f10151ac662e
OVERCHEM,328170113,bornes.overchem@laposte.net,,bornes.overchem@laposte.net,,OVERCHEM,Non concerné,EVB-P20151643,Parking Overchem,Parking privé à usage public,Pont Les Brie 80200 Villers Carbonnel,80801,"[49.875167008880716,2.9187218809509474]",3,Non concerné,NL*EVB*EJJWAPVOMKPV6A25OTGB23XNFDQ,22,0,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:30,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,80801E20004227,2021-06-17,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise OVERCHEM,2021-06-28,2021-07-13T15:33:23.703000,e77892c2-6ce5-40df-8750-30da06b581be
OVERCHEM,328170113,bornes.overchem@laposte.net,,bornes.overchem@laposte.net,,OVERCHEM,Non concerné,EVB-P20151604,Parking Overchem,Parking privé à usage public,Pont Les Brie 80200 Villers Carbonnel,80801,"[49.875167008880716,2.9187218809509474]",3,Non concerné,NL*EVB*EPIQIS4RNU4YNTP24UNMQ32X3LU,22,0,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:30,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,80801E20004227,2021-06-17,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise OVERCHEM,2021-06-28,2021-07-13T15:33:23.703000,e77892c2-6ce5-40df-8750-30da06b581be
OVERCHEM,328170113,bornes.overchem@laposte.net,,bornes.overchem@laposte.net,,OVERCHEM,Non concerné,EVB-P20151599,Parking Overchem,Parking privé à usage public,Pont Les Brie 80200 Villers Carbonnel,80801,"[49.875167008880716,2.9187218809509474]",3,Non concerné,NL*EVB*EOWO7DIOILFCVDMCTBLGRIWT2T4,22,1,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:30,Accessible mais non réservé PMR,Hauteur maximale 2m,false,Indirect,80801E20004227,2021-06-17,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise OVERCHEM,2021-06-28,2021-07-13T15:33:23.703000,e77892c2-6ce5-40df-8750-30da06b581be
TENTE SAS,973203284,tente.bornes@laposte.net,,tente.bornes@laposte.net,,TENTE,Non concerné,EVB-P1929472,Parking Tente,Parking privé à usage public,11 Rue de l'Orme Brisé 77310 Pringy,77378,"[48.52013390000001,2.567508599999986]",7,Non concerné,NL*EVB*EGEKOKRLFJDGSFSHMN6VX5YXOGU,22,1,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:00,Accessible mais non réservé PMR,Hauteur maximale 2m,false,Indirect,"3,00E+13",2021-05-07,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise TENTE,2021-05-25,2021-07-13T15:28:47.398000,eb099a82-5e10-4631-897f-0a2bed30345d
TENTE SAS,973203284,tente.bornes@laposte.net,,tente.bornes@laposte.net,,TENTE,Non concerné,EVB-P2020524,Parking Tente,Parking privé à usage public,11 Rue de l'Orme Brisé 77310 Pringy,77378,"[48.52013390000001,2.567508599999986]",7,Non concerné,NL*EVB*EKR55H3FMTFIEB4XADNWPSJXOD4,22,1,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:00,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,"3,00E+13",2021-05-07,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise TENTE,2021-05-25,2021-07-13T15:28:47.398000,eb099a82-5e10-4631-897f-0a2bed30345d
TENTE SAS,973203284,tente.bornes@laposte.net,,tente.bornes@laposte.net,,TENTE,Non concerné,EVB-P1929472,Parking Tente,Parking privé à usage public,11 Rue de l'Orme Brisé 77310 Pringy,77378,"[48.52013390000001,2.567508599999986]",7,Non concerné,NL*EVB*EVCONV7JAPQ4RLEWI54OJJGZCOI,22,0,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:00,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,"3,00E+13",2021-05-07,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise TENTE,2021-05-25,2021-07-13T15:28:47.398000,eb099a82-5e10-4631-897f-0a2bed30345d
TENTE SAS,973203284,tente.bornes@laposte.net,,tente.bornes@laposte.net,,TENTE,Non concerné,EVB-P1929472,Parking Tente,Parking privé à usage public,11 Rue de l'Orme Brisé 77310 Pringy,77378,"[48.52013390000001,2.567508599999986]",7,Non concerné,NL*EVB*EJ6OW3ELZ753BU4KITLSIIVXVW4,22,0,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:00,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,"3,00E+13",2021-05-07,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise TENTE,2021-05-25,2021-07-13T15:28:47.398000,eb099a82-5e10-4631-897f-0a2bed30345d
TENTE SAS,973203284,tente.bornes@laposte.net,,tente.bornes@laposte.net,,TENTE,Non concerné,EVB-P1929472,Parking Tente,Parking privé à usage public,11 Rue de l'Orme Brisé 77310 Pringy,77378,"[48.52013390000001,2.567508599999986]",7,Non concerné,NL*EVB*EBI4WCW6YCPXKXHRNRVEFBMOVJY,22,1,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:00,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,"3,00E+13",2021-05-07,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise TENTE,2021-05-25,2021-07-13T15:28:47.398000,eb099a82-5e10-4631-897f-0a2bed30345d
TENTE SAS,973203284,tente.bornes@laposte.net,,tente.bornes@laposte.net,,TENTE,Non concerné,EVB-P1929472,Parking Tente,Parking privé à usage public,11 Rue de l'Orme Brisé 77310 Pringy,77378,"[48.52013390000001,2.567508599999986]",7,Non concerné,NL*EVB*EVWTNWDRPV5HHQQGKN2647IMM3M,22,0,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:00,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,"3,00E+13",2021-05-07,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise TENTE,2021-05-25,2021-07-13T15:28:47.398000,eb099a82-5e10-4631-897f-0a2bed30345d
TENTE SAS,973203284,tente.bornes@laposte.net,,tente.bornes@laposte.net,,TENTE,Non concerné,EVB-P1950568,Parking Tente,Parking privé à usage public,11 Rue de l'Orme Brisé 77310 Pringy,77378,"[48.52013390000001,2.567508599999986]",7,Non concerné,NL*EVB*E5DRXU6URYZOYRZHQO7PKPUUEAM,22,0,1,0,0,0,false,false,false,true,,Accès libre,false,Mo-Fr 08:30-17:00,Accessibilité inconnue,Hauteur maximale 2m,false,Indirect,"3,00E+13",2021-05-07,Recharge uniquement disponible pendant les horaires d'ouverture de l'entreprise TENTE,2021-05-25,2021-07-13T15:28:47.398000,eb099a82-5e10-4631-897f-0a2bed30345d
EDFRAY,390478139,aurelien@evasion-moto.fr,EDFRAY,aurelien@evasion-moto.fr,0683805728,BH CAR,Non concerné,01FADS2AAVMMH12VRNGNNYWZP2,St. Lo,Parking privé réservé à la clientèle,875 rue jules valles 50,50502,"[49.09977,-1.07595]",2,Non concerné,01FADS6T5BWJHJX6MTZZEX3PNH,22,true,true,false,false,false,true,false,false,false,,Accès réservé,true,"mo-fr 08:00-12:00,mo-fr 14:00-19:00",Accessible mais non réservé PMR,aucune restriction,true,Indirect,300 002 505 956 19 ,2021-07-06,Recharge disponible uniquement pendant les heures d'ouverture,2021-07-07,2021-07-12T18:50:04.094000,19ff4f10-2a7a-4586-9577-98fea352f229
RossiniEnergy,839265873,info@rossinienergy.com,RossiniEnergy,info@rossinienergy.com,0374090105,RossiniEnergy,FRROSE41,,EDP,Parking privé à usage public,"10 Allée Gabert, 59510 Hem",59299,"[50.6515547,3.1809013]",3,FRROSE412,,22,false,true,false,false,true,false,false,false,false,,Accès libre,false,24/7,Accessibilité inconnue,3m,false,Indirect,1136613571677,2021-02-25,,2021-07-05,2021-07-09T10:25:03.341000,8f9eff45-4732-4509-af57-f14a557004ee
RossiniEnergy,839265873,info@rossinienergy.com,RossiniEnergy,info@rossinienergy.com,0374090105,RossiniEnergy,FRROSE41,,EDP,Parking privé à usage public,"10 Allée Gabert, 59510 Hem",59299,"[50.6515547,3.1809013]",3,FRROSE411,,22,false,true,false,false,true,false,false,false,false,,Accès libre,false,24/7,Accessibilité inconnue,3m,false,Indirect,1136613571677,2021-02-25,,2021-07-05,2021-07-09T10:25:03.341000,8f9eff45-4732-4509-af57-f14a557004ee
RossiniEnergy,839265873,info@rossinienergy.com,RossiniEnergy,info@rossinienergy.com,0374090105,RossiniEnergy,FRROSE41,,EDP,Parking privé à usage public,"10 Allée Gabert, 59510 Hem",59299,"[50.6515547,3.1809013]",3,FRROSE413,,22,false,true,false,false,true,false,false,false,false,,Accès libre,false,24/7,Accessibilité inconnue,3m,false,Indirect,1136613571677,2021-02-25,,2021-07-05,2021-07-09T10:25:03.341000,8f9eff45-4732-4509-af57-f14a557004ee
GABMAG17,830297222,contact@hoteltrecelin.com,GABMAG17,contact@hoteltrecelin.com,0681475113,Hôtel Le Trecelin,Non concerné,TACW2241521S0178,Hôtel,Parking privé réservé à la clientèle,16 rue du le petit trecelin 22240 plevenon,22201,"[48.63340097926608,2.325158187997181]",1,Non concerné,TACW2241521S0178,22,false,true,false,false,false,true,false,false,false,,Accès réservé,true,"Mo-Su 8:00-12:00,Mo-Su 14:00-18:00",Accessible mais non réservé PMR,hauteur maximale 2m,false,Direct,30001451058047,2021-07-01,,2021-07-01,2021-07-08T14:42:51.008000,d3cc95b9-6834-4ced-81db-d0badad6830d
AQUA LOISIRS,443891056,loisirs.acqua@orange.fr,AQUA LOISIRS,loisirs.acqua@orange.fr,0474808989,AQUA LOISIRS,Non concerné,01F9VBZH9QQ087R6AHJGRZCS32,aqua loisirs,Parking privé réservé à la clientèle,1176 route d'argent,38261,"[5.49,45.67]",1,Non concerné,,7,false,true,false,false,false,true,false,false,false,,Accès libre,false,Mo-su 08:00-18:00,Accessible mais non réservé PMR,6,false,Indirect,19385094004982,2021-07-02,,2021-07-02,2021-07-05T16:14:12.283000,495076ae-6e5c-4d53-b5c9-138a40a78ae6
SAP LABS FRANCE,419855127,gerald.seiler@sap.com,SAP LABS FRANCE,gerald.seiler@sap.com,0681167047,SAP LABS FRANCE,FRSLFESAPMOUGINS163,FR*SLF*ESAP*MOUGINS*16*3,SAP LABS FRANCE,Parking privé à usage public,805 AV du Dr Maurice Donat,06085,"[43.6087505,7.0100812]",2,FRSLFESAPMOUGINS163,FR*SLF*ESAP*MOUGINS*16*3,24,false,true,true,true,false,false,true,false,true,,Accès libre,false,Mo-Fr 8:00-18:00,Accessible mais non réservé PMR,hauteur maximale 2m,false,Indirect,50022395598346,2021-06-30,pendant les horaires d'ouverture,2021-05-07,2021-07-04T22:37:17.167000,cc3355f6-1d7d-49e8-b649-117dd4a2d84f
FMD,832736490,reservations@futuroscope.fr,BORNES SOLUTIONS,supportclients@bornes-solutions.fr,07 85 71 77 63,BORNES SOLUTIONS - Itinérance Publique,FRBSPS20190000374,EV20190000374,PARC DU FUTUROSCOPE,Parking privé à usage public,Avenue du Futuroscope,86360,"[46.666345,0.366939]",1,FRBSPE86360FUTURPARC01,CU-FUT-86EPP-001-1,7,true,true,false,false,false,true,false,false,false,0€ / kWh,Accès libre,false,Mo-Su 09:00-20:00,Accessible mais non réservé PMR,aucune restriction,false,Indirect,inconnu,2019-06-01,,2021-07-01,2021-07-02T14:24:56.578000,ab4ef6a8-f9cc-42a6-bb5c-1ed9d5e4e545
SCI BOIS COLOMBES EUROPE AVENUE,530078088,supportclients@bornes-solutions.fr,BORNES SOLUTIONS,supportclients@bornes-solutions.fr,07 85 71 77 63,BORNES SOLUTIONS - Itinérance Publique,FRBSPS20190000211,EV20190000211,IBM BOIS COLOMBES,Parking privé à usage public,17 Avenue de l'Europe,92275,"[48.9067548,2.2619470]",1,FRBSPE920090013,CU-IBM-92BCO-3,22,true,true,false,false,false,false,false,false,true,"0,5 €/h + 1 /session",Accès réservé,false,Mo-Fr 08:30-17:30,Accessible mais non réservé PMR,aucune restriction,false,Indirect,inconnu,2017-12-01,,2021-07-01,2021-07-02T14:24:56.578000,ab4ef6a8-f9cc-42a6-bb5c-1ed9d5e4e545
FMD,832736490,reservations@futuroscope.fr,BORNES SOLUTIONS,supportclients@bornes-solutions.fr,07 85 71 77 63,BORNES SOLUTIONS - Itinérance Publique,FRBSPS20190000376,EV20190000376,PARC DU FUTUROSCOPE,Parking privé à usage public,Avenue du Futuroscope,86360,"[46.666345,0.366939]",1,FRBSPE86360FUTURPARC05,CU-FUT-86EPP-001-5,7,true,true,false,false,false,true,false,false,false,0€ / kWh,Accès libre,false,Mo-Su 09:00-20:00,Accessible mais non réservé PMR,aucune restriction,false,Indirect,inconnu,2019-06-01,,2021-07-01,2021-07-02T14:24:56.578000,ab4ef6a8-f9cc-42a6-bb5c-1ed9d5e4e545
FMD,832736490,reservations@futuroscope.fr,BORNES SOLUTIONS,supportclients@bornes-solutions.fr,07 85 71 77 63,BORNES SOLUTIONS - Itinérance Publique,FRBSPS20190000373,EV20190000373,PARC DU FUTUROSCOPE,Parking privé à usage public,Boulevard Léonard de Vinci,86360,"[46.670502,0.363393]",1,FRBSPE86360FUTURHOTEL03,CU-FUT-86HOT-001-3,7,true,true,false,false,false,true,false,false,false,0€ / kWh,Accès libre,false,Mo-Su 08:00-24:00,Accessible mais non réservé PMR,aucune restriction,false,Indirect,inconnu,2019-06-01,,2021-07-01,2021-07-02T14:24:56.578000,ab4ef6a8-f9cc-42a6-bb5c-1ed9d5e4e545
CHARTRES SPORT & LOISIRS,881921258,thierry.picquart@kartingdechartres.fr,BORNES SOLUTIONS,supportclients@bornes-solutions.fr,07 85 71 77 63,BORNES SOLUTIONS - Itinérance Publique,FRBSPS20200000783,EV20200000783,Karting de Chartres,Parking privé à usage public,Avenue Victor Hugo,28000,"[48.4480485,1.5418966]",1,FRBSPE28000KARDECHA03,CU-KDC-28CHA-001-3,22,true,true,false,false,false,false,false,false,true,"0,29 €/kWh",Accès libre,false," Mo-Fr 12:00-14:00,Mo-Fr 16:00-22:00, Sa 10:00-23:00, Su 11:00-21:00",Accessible mais non réservé PMR,aucune restriction,false,Indirect,inconnu,2020-11-01,,2021-07-01,2021-07-02T14:24:56.578000,ab4ef6a8-f9cc-42a6-bb5c-1ed9d5e4e545
OCEA SMART BUILDING,410049696,supportclients@bornes-solutions.fr,BORNES SOLUTIONS,supportclients@bornes-solutions.fr,07 85 71 77 63,BORNES SOLUTIONS - Itinérance Publique,FRBSPS31240000001076,EV-OCEALUNION-04,AGENCE DE TOULOUSE,Parking privé à usage public,10 Impasse de Borde Basse,31240,"[43.6622396,1.4592787]",1,FRBSPE31240LU04,CU-OCEALUNION-04,7,false,true,false,false,false,false,false,false,true,"0,29 €/kWh",Accès réservé,false,Mo-Fr 08:30-17:30,Accessible mais non réservé PMR,aucune restriction,false,Indirect,inconnu,2021-04-01,,2021-07-01,2021-07-02T14:24:56.578000,ab4ef6a8-f9cc-42a6-bb5c-1ed9d5e4e545
LTE MAINVILLIERS,424451904,l.thireau@lte.fr,BORNES SOLUTIONS,supportclients@bornes-solutions.fr,07 85 71 77 63,BORNES SOLUTIONS - Itinérance Publique,FRBSPS28300000001099,EV-LTE-MAINV-01,IRIS CONSEIL,Parking privé à usage public,10 Rue Georges Charpak,28302,"[48.448042,1.4414807]",1,FRBSPE28300LTEMAI01,CU-LTE-MAINV-01,22,true,true,false,false,false,false,false,false,true,"0,29 €/kWh",Accès réservé,false,Mo-Fr 08:00-19:30,Accessible mais non réservé PMR,aucune restriction,false,Indirect,inconnu,2021-01-01,,2021-07-01,2021-07-02T14:24:56.578000,ab4ef6a8-f9cc-42a6-bb5c-1ed9d5e4e545
